type,title,director,cast,country,release_year,rating,duration,genre
Movie,Nowhere Boy,Sam Taylor-Johnson,"Aaron Taylor-Johnson, Anne-Marie Duff, Kristin Scott Thomas, David Threlfall, Thomas Brodie-Sangster, David Morrissey, Sam Bell, Ophelia Lovibond, Josh Bolt, Andrew Buchan","United Kingdom, Canada",2009,R,99 min,Dramas
TV Show,Nowhere Man,DJ Chen,"Alyssa Chia, Mavis Fan, Joseph Chang, Wang Po-chieh, Jeremiah Zhang, Chou Min-fu, Greg Hsu, Kuo Tze-cheng, Shen Hai-jung, Lu Yi-long",Taiwan,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
TV Show,NSU German History X,,"Anna Maria Mühe, Albrecht Schuch, Sebastian Urzendowsky, Almila Bagriacik, Tom Schilling, André Hennicke, Florian Lukas, Liv Lisa Fries, Sylvester Groth, Florian Stetter, Nina Gummich, Jonas Leonhardi, Ben Münchow, Maximilian Jaenisch",Germany,2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
TV Show,Nuestra Lucha Libre,,,,2018,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows"
TV Show,Numberblocks,,"Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher",United Kingdom,2019,TV-Y,5 Seasons,Kids' TV
Movie,Numbered,"Dana Doron, Uriel Sinai",,Israel,2012,TV-PG,55 min,"Documentaries, International Movies"
Movie,Numero Zero. The Roots of Italian Rap,Enrico Bisi,,Italy,2015,TV-MA,91 min,"Documentaries, International Movies, Music & Musicals"
TV Show,Nura: Rise of the Yokai Clan: Demon Capital,,"Jun Fukuyama, Darrel Guilbeau, Eri Kitamura, Grant George, Yui Horie, Cassandra Lee, Hiroki Yasumoto, Kyle Hebert",Japan,2011,TV-MA,1 Season,"Anime Series, Crime TV Shows"
TV Show,Nurse Jackie,,"Edie Falco, Merritt Wever, Paul Schulze, Peter Facinelli, Stephen Wallem, Eve Best, Dominic Fumusa, Ruby Jerins, Anna Deavere Smith",United States,2015,TV-MA,7 Seasons,"TV Comedies, TV Dramas"
TV Show,Nurses Who Kill,,,United Kingdom,2016,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
Movie,Nymphomaniac: Volume 1,Lars von Trier,"Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin, Shia LaBeouf, Christian Slater, Uma Thurman, Sophie Kennedy Clark, Connie Nielsen","Denmark, Germany, Belgium, United Kingdom, France",2013,NR,117 min,"Dramas, Independent Movies, International Movies"
Movie,Nymphomaniac: Volume II,Lars von Trier,"Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin, Shia LaBeouf, Christian Slater, Jamie Bell, Uma Thurman, Willem Dafoe, Mia Goth, Sophie Kennedy Clark, Michael Pas, Stellan Skarsgard","Denmark, Germany, Belgium, United Kingdom, France, Sweden",2013,TV-MA,124 min,"Dramas, Independent Movies, International Movies"
Movie,O Silêncio do Céu,Marco Dutra,"Leonardo Sbaraglia, Carolina Dieckmann, Chino Darín, Alvaro Armand Ugon, Mirella Pascual, Roberto Suárez, Paula Cohen, Dylan Cortes, Priscila Bellora, Gabriela Freire, María Mendive",Brazil,2016,TV-MA,102 min,"Dramas, International Movies"
TV Show,"O-Negative, Love Can’t Be Designed",,"Jirayu La-ongmanee, Thanapob Leeratanakajorn, Violette Wautier, Supassra Thanachat, Arachaporn Pokinpakorn",,2016,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
Movie,Oasis: Supersonic,Mat Whitecross,"Oasis, Alan McGee, Paul McGuigan, Liam Gallagher, Noel Gallagher",United Kingdom,2016,R,122 min,"Documentaries, International Movies, Music & Musicals"
Movie,Obvious Child,Gillian Robespierre,"Jenny Slate, Jake Lacy, Gaby Hoffmann, Gabe Liedman, Polly Draper, Richard Kind, David Cross, Paul Briganti, Stephen Singer, Cindy Cheung, Jennifer Kim, Cyrus McQueen, Emily Tremaine, Ernest Mingione",United States,2014,R,84 min,"Comedies, Dramas, Independent Movies"
Movie,Océans,"Jacques Perrin, Jacques Cluzaud","Pierce Brosnan, Jacques Perrin, Rie Miyazawa, Lancelot Perrin","France, Switzerland, Spain, United States, United Arab Emirates",2009,G,84 min,"Documentaries, International Movies"
Movie,Occupation,Luke Sparke,"Daniel Ewing, Temuera Morrison, Stephanie Jacobsen, Rhiannon Fish, Zachary Garred, Izzy Stephens, Charles Terrier, Charles Mesure, Felix Williamson, Jacqueline McKenzie, Aaron Jeffery, Bruce Spence",Australia,2018,R,120 min,"Action & Adventure, Sci-Fi & Fantasy"
TV Show,Occupied,,"Henrik Mestad, Ane Dahl Torp, Ingeborga Dapkunaite, Eldar Skar, Ragnhild Gudbrandsen, Kristin Braut-Solheim","Norway, Sweden",2019,TV-MA,3 Seasons,"International TV Shows, TV Dramas, TV Thrillers"
Movie,Ocean's Eleven,Lewis Milestone,"Frank Sinatra, Dean Martin, Sammy Davis Jr., Peter Lawford, Angie Dickinson, Richard Conte, Cesar Romero, Patrice Wymore, Joey Bishop",United States,1960,TV-PG,127 min,"Action & Adventure, Classic Movies, Comedies"
Movie,Ocean's Thirteen,Steven Soderbergh,"George Clooney, Brad Pitt, Matt Damon, Andy Garcia, Don Cheadle, Bernie Mac, Ellen Barkin, Al Pacino, Casey Affleck, Scott Caan",United States,2007,PG-13,122 min,"Action & Adventure, Comedies"
Movie,Ocean's Twelve,Steven Soderbergh,"George Clooney, Brad Pitt, Matt Damon, Catherine Zeta-Jones, Andy Garcia, Don Cheadle, Bernie Mac, Julia Roberts, Casey Affleck, Scott Caan",United States,2004,PG-13,125 min,"Action & Adventure, Comedies"
TV Show,OCTB,,"Jordan Chan, Justin Cheung, Kwok-Kwan Chan, Sam Lee, Alan Kuo, Ken Wong, Samuel Pang, Rose Chan, Hugo Ng, Ng Man-Tat, Chen Yating, Michael Wai-Man Chan, Philip Chan, Ben Ng",Hong Kong,2017,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
TV Show,October Faction,,"Tamara Taylor, J.C. MacKenzie, Aurora Burghart, Gabriel Darku, Maxim Roy, Stephen McHattie, Wendy Crewson, Megan Follows, Nicola Correia-Damude, Praneet Akilla, Michelle Nolden, Anwen O'Driscoll",United States,2020,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Horror"
TV Show,Octonauts,,"Keith Wickham, Jo Wyatt, Ross Breen, Simon Greenall, Paul Panting, Rob Rackstraw, Teresa Gallagher, Shelley Longworth","United States, Ireland, United Kingdom, India",2015,TV-Y,4 Seasons,"British TV Shows, Kids' TV"
Movie,Octonauts & the Caves of Sac Actun,Blair Simmons,"Teresa Gallagher, Simon Greenall, Keith Wickham, Rob Rackstraw, Michael Murphy, Jo Wyatt, Helen Walsh, Andres Williams, Paul Panting",United Kingdom,2020,TV-Y,72 min,Children & Family Movies
Movie,Octonauts & the Great Barrier Reef,Blair Simmons,"Simon Greenall, Rob Rackstraw, Jo Wyatt, Paul Buckley, Simon Foster, Teresa Gallagher, Richard Grieve, Michael Murphy, Paul Panting, Keith Wickham",United Kingdom,2020,TV-Y,47 min,Children & Family Movies
TV Show,Oddbods,,"Nadia Ramlee, Chio Su-Ping, Jeremy Linn, Marlon Dance-Hooi","United Kingdom, Singapore",2017,TV-Y,1 Season,"Kids' TV, TV Comedies"
Movie,Oddbods: Party Monsters,,"Nadia Ramlee, Chio Su-Ping, Jeremy Linn, Marlon Dance-Hooi",,2018,TV-Y,23 min,Movies
Movie,Oddbods: The Festive Menace,,"Nadia Ramlee, Chio Su-Ping, Jeremy Linn, Marlon Dance-Hooi",,2018,TV-Y,23 min,Movies
Movie,Odu Raja Odu,"Nishanth Ravindaran, Jathin Sanker Raj","Guru Somasundaram, Nasser, Anand Sami, Lakshmi Priyaa Chandramouli, Ashiqa Salvan, Ravindra Vijay, Abishek K.S., Venkatesh Harinathan",India,2018,TV-14,121 min,"Comedies, International Movies"
TV Show,Off Camera,,Sam Jones,United States,2015,TV-MA,3 Seasons,Stand-Up Comedy & Talk Shows
Movie,Off Course,Nacho G. Velilla,"Yon González, Julián López, Blanca Suárez, Malena Alterio, Úrsula Corberó, Miki Esparbé, Younes Bachir, Javier Cámara, Carmen Machi, José Sacristán",Spain,2015,TV-MA,107 min,"Comedies, International Movies"
Movie,Offering to the Storm,Fernando González Molina,"Marta Etura, Leonardo Sbaraglia, Carlos Librado ""Nene"", Francesc Orella, Imanol Arias, Álvaro Cervantes, Itziar Aizpuru, Benn Northover, Marta Larralde, Alicia Sánchez, Eduardo Rosa, Angel Alkain, Ana Wagener, Paco Tous, Patricia López Arnaiz, Pedro Casablanc","Spain, Germany",2020,TV-MA,140 min,"International Movies, Thrillers"
TV Show,Office Girls,,"Roy Chiu, Alice Ko, Tia Lee, Patrick Lee, Kuo Shu-yao, James Wen, Janel Tsai",Taiwan,2011,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Movie,Officer Downe,Shawn Crahan,"Kim Coates, Tyler Ross, Lauren Vélez, Reno Wilson, Bruno Gunn, Tracy Vilar, Sona Eyambe, Corey Taylor, Meadow Williams",United States,2016,R,91 min,Action & Adventure
Movie,Offline - Das leben ist kein bonuslevel,Florian Schnell,"Moritz Jahn, Mala Emde, Ugur Ekeroglu, David Schütter, Hannes Wegener, Yung Ngo, Kida Khodr Ramadan",Germany,2016,TV-MA,89 min,"Action & Adventure, Comedies, International Movies"
TV Show,Offspring,,"Asher Keddie, Kat Stewart, Richard Davies, Linda Cropper, Jane Harber, Alicia Gardiner, Lachy Hulme, Eddie Perfect, Deborah Mailman, John Waters",Australia,2017,TV-MA,7 Seasons,"TV Comedies, TV Dramas"
TV Show,Oggy and the Cockroaches,Olivier Jean-Marie,"Don Michael Paul, Tony Sampson, Sam Vincent, Matt Hill, Greg Eagles, Peter Kelamis, Tara Strong, Rick Jones",France,2017,TV-Y7,1 Season,"Kids' TV, TV Comedies"
Movie,Oh Darling Yeh Hai India,Ketan Mehta,"Shah Rukh Khan, Deepa Sahi, Javed Jaffrey, Anupam Kher, Amrish Puri, Tom Alter, Tinnu Anand, Sadashiv Amrapurkar, Tiku Talsania, Kader Khan",India,1995,TV-14,154 min,"Action & Adventure, Comedies, International Movies"
TV Show,Oh My Ghost,,"Park Bo-young, Cho Jung-seok, Lim Ju-hwan, Kim Seul-ki",South Korea,2015,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
Movie,Oh My Ghost 2,Poj Arnon,"Kohtee Aramboy, Yingsak Chonglertjetsadawong, Jaturong Mokjok, Apaporn Nakornsawan, Pharanyu Rojanawuthitham, Wiradit Srimalai, Ekkachai Srivichai, Chaiwat Thongsaeng, Kachapa Toncharoen",Thailand,2011,TV-MA,103 min,"Comedies, Horror Movies, International Movies"
Movie,Oh My Ghost 3,Poj Arnon,"Kohtee Aramboy, Yingsak Chonglertjetsadawong, Jaturong Mokjok, Waraphat Phatsathit, Wiradit Srimalai, Ekkachai Srivichai, Varuth Waratham, Butsarin Yokpraipan",Thailand,2012,TV-MA,103 min,"Comedies, Horror Movies, International Movies"
Movie,Oh My Ghost 4,Poj Arnon,,,2015,TV-MA,106 min,"Comedies, Horror Movies, International Movies"
Movie,Oh My God,Umesh Shukla,"Akshay Kumar, Paresh Rawal, Mithun Chakraborty, Om Puri, Apoorva Arora, Arun Bali, Honey Chaaya, Poonam Jhawer, Mahesh Manjrekar, Govind Namdeo",India,2012,TV-PG,129 min,"Comedies, Dramas, International Movies"
